,Gap,Algorithm,Failed(Out Of 100),Mean Expansions,Mean Runtime(Seconds)
0,0.0,MM,0.0,12365.0,0.115
1,0.0,I-MM,0.0,30624.0,0.115
2,0.0,MBBDS(k=1)(0.90),0.0,143911.0,0.387
3,0.0,MBBDS(k=1)(0.75),0.0,143869.0,0.36
4,0.0,MBBDS(k=1)(0.50),0.0,174098.0,0.401
5,0.0,MBBDS(k=1)(0.25),0.0,243323.0,0.466
6,0.0,MBBDS(k=1)(0.10),0.0,1027535.0,1.885
7,1.0,MM,0.0,190397.0,2.258
8,1.0,I-MM,0.0,341090.0,2.258
9,1.0,MBBDS(k=1)(0.90),0.0,1786757.0,7.184
10,1.0,MBBDS(k=1)(0.75),0.0,1816306.0,6.767
11,1.0,MBBDS(k=1)(0.50),0.0,1921784.0,6.202
12,1.0,MBBDS(k=1)(0.25),0.0,2778138.0,7.293
13,1.0,MBBDS(k=1)(0.10),0.0,10851126.0,23.952
14,2.0,MM,0.0,726577.0,9.558
15,2.0,I-MM,0.0,1127257.0,9.558
16,2.0,MBBDS(k=1)(0.90),0.0,5637598.0,27.853
17,2.0,MBBDS(k=1)(0.75),0.0,5605999.0,25.701
18,2.0,MBBDS(k=1)(0.50),0.0,5598333.0,22.35
19,2.0,MBBDS(k=1)(0.25),0.0,8171920.0,26.282
20,2.0,MBBDS(k=1)(0.10),0.0,12673003.0,35.532
21,3.0,MM,0.0,1398325.0,27.797
22,3.0,I-MM,0.0,1989087.0,27.797
23,3.0,MBBDS(k=1)(0.90),0.0,9252427.0,78.791
24,3.0,MBBDS(k=1)(0.75),0.0,9132901.0,57.118
25,3.0,MBBDS(k=1)(0.50),0.0,9109978.0,41.463
26,3.0,MBBDS(k=1)(0.25),0.0,12199854.0,43.162
27,3.0,MBBDS(k=1)(0.10),0.0,17526791.0,53.156
